Model,Accuracy,CV F1-Weighted,Rank
LightGBM,0.7740705433746425,0.702278975982652,1
Random Forest,0.7726406101048617,0.7265330884177723,2
PyTorch NN,0.7368922783603432,,3
HistGradientBoosting,0.6839847473784557,0.7045530967141292,4
Logistic Regression,0.6796949475691134,0.6903205789657619,5
XGBoost,0.6591992373689228,0.7004460980445474,6
CatBoost,0.611534795042898,0.6959182364946399,7
Keras NN,0.498093422306959,,8
